Fechas,Lerma,Bravo,Balsas
2019-08-15,0.98259296,13.167312,8.2685056
2019-08-16,1.0194048,12.0912736,9.4011776
2019-08-17,0.88348416,12.4877088,10.477216
2019-08-18,0.7928704,11.8647392,8.3817728
2019-08-19,0.78154368,11.2134528,7.2491008
2019-08-20,1.12417696,15.8857248,6.9942496
2019-08-21,0.89764256,19.9350272,8.7215744
2019-08-22,0.82401888,15.9140416,12.0912736
2019-08-23,0.7928704,14.6114688,9.6843456
2019-08-24,0.81552384,13.5354304,8.636624
2019-08-25,0.80136544,12.4027584,9.0047424
2019-08-26,0.8778208,16.8201792,12.6576096
2019-08-27,1.26292928,23.6162112,16.3387936
2019-08-28,1.132672,27.042544,27.6371968
2019-08-29,0.96843456,24.4373984,24.918784
2019-08-30,0.9061376,18.6324544,18.1793856
2019-08-31,0.88631584,15.6875072,12.2328576
2019-09-01,1.54043392,17.556416,10.1090976
2019-09-02,3.1997984,18.7740384,8.070288
2019-09-03,3.5962336,15.7441408,7.362368
2019-09-04,1.99067104,12.9974112,6.3429632
2019-09-05,1.35354304,11.5249376,5.7483104
2019-09-06,0.99675136,10.5338496,5.3235584
2019-09-07,0.80419712,9.627712,4.95544
2019-09-08,0.69659328,9.061376,4.6156384
2019-09-09,0.64562304,8.8631584,4.1908864
2019-09-10,0.6229696,8.5799904,3.822768
2019-09-11,0.56067264,8.4100896,3.6245504
2019-09-12,0.51536576,8.2685056,3.5112832
2019-09-13,0.48421728,8.1269216,3.2847488
2019-09-14,0.46439552,7.8720704,3.114848
2019-09-15,0.42758368,7.7588032,3.0865312
2019-09-16,0.40209856,7.6738528,2.973264
2019-09-17,0.38510848,7.4190016,2.79203648
2019-09-18,0.3681184,7.2491008,2.68726432
2019-09-19,0.34829664,7.1075168,2.62779904
2019-09-20,0.3398016,7.0508832,2.41542304
2019-09-21,0.33130656,6.937616,2.4352448
2019-09-22,0.3256432,6.937616,2.48338336
2019-09-23,0.31431648,6.9092992,2.50037344
2019-09-24,0.30015808,6.8526656,2.46072992
2019-09-25,0.2973264,6.7677152,2.5201952
2019-09-26,0.28599968,6.654448,2.50037344
2019-09-27,0.276938304,6.6827648,2.46639328
2019-09-28,0.283168,6.5978144,2.39560128
2019-09-29,0.281468992,6.4845472,2.38427456
2019-09-30,0.259665056,6.4279136,2.34746272
2019-10-01,0.238427456,6.37128,2.27383904
2019-10-02,0.222570048,6.2580128,2.27667072
2019-10-03,0.239560128,6.2580128,2.16340352
2019-10-04,0.258532384,6.2580128,2.12942336
2019-10-05,0.280053152,6.37128,2.35595776
2019-10-06,0.2619304,6.3429632,2.34179936
2019-10-07,0.227100736,6.3146464,2.1803936
2019-10-08,0.242958144,6.3429632,2.2228688
2019-10-09,0.254284864,6.3146464,2.1379184
2019-10-10,0.258815552,6.37128,2.12376
2019-10-11,0.237294784,6.3146464,2.16057184
2019-10-12,0.251736352,6.2863296,2.28233408
2019-10-13,0.27750464,6.4279136,2.25968064
2019-10-14,0.34546496,6.8243488,2.27667072
2019-10-15,0.51819744,7.8154368,2.50886848
2019-10-16,1.1043552,12.2894912,4.6156384
2019-10-17,0.77304864,16.4520608,7.8437536
2019-10-18,0.58898944,14.3849344,8.2685056
2019-10-19,0.85799904,17.3581984,8.2968224
2019-10-20,1.22045408,29.449472,11.893056
2019-10-21,1.203464,26.0797728,12.4877088
2019-10-22,0.88631584,24.8338336,12.459392
2019-10-23,0.69942496,23.0215584,11.8647392
2019-10-24,0.63146464,17.5280992,9.7409792
2019-10-25,0.62013792,15.6308736,8.070288
2019-10-26,0.637128,15.1778048,7.1924672
2019-10-27,0.69659328,15.857408,7.5322688
2019-10-28,0.66261312,15.857408,7.503952
2019-10-29,1.04488992,15.2061216,7.8154368
2019-10-30,2.12942336,21.3508672,21.6057184
2019-10-31,2.37011616,31.431648,19.11384
