Fechas,Montebello,Arareco,Chapala
2020-04-17 03:00,663858936,536415782.4,723436020
2020-04-17 03:15,663858936,536514460.8,723436020
2020-04-17 03:30,663858936,536514460.8,723436020
2020-04-17 03:45,663858936,536514460.8,723806064
2020-04-17 04:00,663858936,536514460.8,723806064
2020-04-17 04:15,663858936,536514460.8,723436020
2020-04-17 04:30,663858936,536514460.8,722695932
2020-04-17 04:45,663858936,536613139.2,722449236
2020-04-17 05:00,663858936,536613139.2,721955844
2020-04-17 05:15,663858936,536613139.2,721462452
2020-04-17 05:30,663858936,536613139.2,721092408
2020-04-17 05:45,663858936,536613139.2,720845712
2020-04-17 06:00,663858936,536613139.2,720845712
2020-04-17 06:15,663858936,536613139.2,721339104
2020-04-17 06:30,663858936,536613139.2,721709148
2020-04-17 06:45,663858936,536613139.2,721709148
2020-04-17 07:00,663858936,536613139.2,721955844
2020-04-17 07:15,663858936,536711817.6,721955844
2020-04-17 07:30,663858936,536711817.6,721709148
2020-04-17 07:45,663414883.2,536711817.6,721092408
2020-04-17 08:00,663414883.2,536810496,720352320
2020-04-17 08:15,663858936,536810496,719118840
2020-04-17 08:30,663414883.2,536810496,718502100
2020-04-17 08:45,663414883.2,536810496,718008708
2020-04-17 09:00,663858936,536810496,717515316
2020-04-17 09:15,663414883.2,536810496,718008708
2020-04-17 09:30,663414883.2,536810496,718872144
2020-04-17 09:45,663414883.2,536909174.4,719118840
2020-04-17 10:00,663858936,536909174.4,719612232
2020-04-17 10:15,663414883.2,536909174.4,720599016
2020-04-17 10:30,663414883.2,536810496,720599016
2020-04-17 10:45,663414883.2,536909174.4,720352320
2020-04-17 11:00,663858936,536909174.4,719858928
2020-04-17 11:15,663414883.2,537007852.8,719118840
2020-04-17 11:30,663414883.2,536909174.4,718872144
2020-04-17 11:45,663414883.2,537007852.8,718748796
2020-04-17 12:00,663414883.2,537007852.8,718255404
2020-04-17 12:15,663414883.2,537007852.8,718008708
2020-04-17 12:30,663414883.2,537007852.8,718008708
2020-04-17 12:45,663414883.2,537007852.8,718502100
2020-04-17 13:00,663414883.2,537106531.2,718502100
2020-04-17 13:15,663414883.2,537106531.2,718872144
2020-04-17 13:30,663414883.2,537106531.2,718748796
2020-04-17 13:45,663414883.2,537106531.2,718872144
2020-04-17 14:00,663414883.2,537205209.6,718872144
2020-04-17 14:15,663414883.2,537106531.2,718502100
2020-04-17 14:30,663414883.2,537205209.6,718008708
2020-04-17 14:45,663414883.2,537205209.6,717515316
2020-04-17 15:00,663414883.2,537205209.6,716775228
2020-04-17 15:15,663414883.2,537303888,716775228
2020-04-17 15:30,663414883.2,537205209.6,716651880
2020-04-17 15:45,663414883.2,537303888,716775228
2020-04-17 16:00,662970830.4,537303888,716651880
2020-04-17 16:15,663414883.2,537303888,716775228
2020-04-17 16:30,663414883.2,537303888,717515316
2020-04-17 16:45,662970830.4,537303888,717515316
2020-04-17 17:00,662970830.4,537303888,717762012
2020-04-17 17:15,662970830.4,537402566.4,717515316
2020-04-17 17:30,663414883.2,537402566.4,716651880
2020-04-17 17:45,663414883.2,537402566.4,716651880
2020-04-17 18:00,663414883.2,537402566.4,716158488
2020-04-17 18:15,663414883.2,537501244.8,715911792
2020-04-17 18:30,663414883.2,537402566.4,715911792
2020-04-17 18:45,663414883.2,537501244.8,715911792
2020-04-17 19:00,663414883.2,537501244.8,715418400
2020-04-17 19:15,662970830.4,537501244.8,715911792
2020-04-17 19:30,663414883.2,537501244.8,716158488
2020-04-17 19:45,662970830.4,537501244.8,716405184
2020-04-17 20:00,662970830.4,537501244.8,716405184
2020-04-17 20:15,662970830.4,537501244.8,716651880
2020-04-17 20:30,662970830.4,537599923.2,716651880
2020-04-17 20:45,662970830.4,537599923.2,716405184
2020-04-17 21:00,662970830.4,537599923.2,715911792
2020-04-17 21:15,662970830.4,537599923.2,715911792
2020-04-17 21:30,662970830.4,537599923.2,715418400
